from,to,time_step,flow
BEL,NED,4,40.0
BEL,NED,5,40.0
BEL,NED,8,40.0
BEL,NED,9,40.0
NED,BEL,2,40.0
NED,BEL,4,40.0
NED,BEL,5,40.0
NED,BEL,7,40.0
NED,BEL,8,40.0
NED,BEL,9,40.0
NED,GER,2,1860.0
NED,GER,3,1900.0
NED,GER,4,1900.0
NED,GER,5,1960.0
NED,GER,6,1900.0
NED,GER,7,1860.0
NED,GER,8,1900.0
NED,GER,10,1900.0
GER,NED,1,40.0
GER,NED,2,2000.0
GER,NED,3,2000.0
GER,NED,4,2000.0
GER,NED,5,2000.0
GER,NED,6,2000.0
GER,NED,7,2000.0
GER,NED,8,2000.0
GER,NED,9,100.0
GER,NED,10,2000.0
GER,FRA,1,4000.0
GER,FRA,2,110.0
GER,FRA,3,50.0
GER,FRA,4,4000.0
GER,FRA,5,110.0
GER,FRA,6,4000.0
GER,FRA,7,110.0
GER,FRA,8,4000.0
GER,FRA,9,110.0
GER,FRA,10,4000.0
FRA,GER,1,3890.0
FRA,GER,4,3910.0
FRA,GER,6,3950.0
FRA,GER,8,3950.0
FRA,GER,10,3950.0
FRA,SPA,1,10.0
FRA,SPA,2,10.0
FRA,SPA,3,10.0
FRA,SPA,5,10.0
FRA,SPA,7,10.0
FRA,SPA,8,10.0
FRA,SPA,9,10.0
FRA,SPA,10,10.0
SPA,FRA,4,10.0
SPA,FRA,6,10.0
SPA,ITA,1,4000.0
SPA,ITA,2,4000.0
SPA,ITA,3,4000.0
SPA,ITA,4,140.0
SPA,ITA,5,160.0
SPA,ITA,6,140.0
SPA,ITA,7,160.0
SPA,ITA,8,4000.0
SPA,ITA,9,4000.0
SPA,ITA,10,4000.0
ITA,SPA,1,3840.0
ITA,SPA,2,3840.0
ITA,SPA,3,3840.0
ITA,SPA,8,3840.0
ITA,SPA,9,3840.0
ITA,SPA,10,3840.0
ITA,UKI,1,2000.0
ITA,UKI,2,2000.0
ITA,UKI,3,60.0
ITA,UKI,4,2000.0
ITA,UKI,5,60.0
ITA,UKI,6,2000.0
ITA,UKI,7,60.0
ITA,UKI,8,2000.0
ITA,UKI,9,2000.0
ITA,UKI,10,60.0
UKI,ITA,1,1900.0
UKI,ITA,2,1940.0
UKI,ITA,4,1900.0
UKI,ITA,6,1900.0
UKI,ITA,8,1900.0
UKI,ITA,9,1940.0
